Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
NLP,32.1688014000,34.8117142000,44.0,,15.031,,1713027253215,,,338467356000000,1.3941727,0,,,
FLP,32.1688117000,34.8116536000,39.686626766212065,7.7060275,6.098,254.96024,1713027253216,1.5,45.0,338467356000000,2.0518367,0,,,
GPS,32.1688005200,34.8115939000,39.64892578125,9.24,3.7900925,255.9,1713027254000,0.77189165,1.1357436,338467701246913,2.5,0,,,
FLP,32.1688013000,34.8115991000,39.527089287935226,9.231516,6.098,254.98825,1713027253561,0.77189165,1.1357436,338467701246913,2.0537808,0,,,
GPS,32.1687789500,34.8114844700,39.2552490234375,10.1,3.7900925,256.8,1713027255000,0.7815735,1.1043322,338468693638318,2.5,0,,,
FLP,32.1687791000,34.8114877000,39.48473853948177,10.091451,5.784,255.98828,1713027254553,0.7815735,1.1043322,338468693638318,2.0637429,0,,,
GPS,32.1687585200,34.8113725900,38.906005859375,10.52,3.7900925,259.2,1713027256000,0.76603615,1.0443556,338469694267068,2.5,0,,,
FLP,32.1687583000,34.8113743000,39.399497830039806,10.514977,5.784,258.99225,1713027255554,0.76603615,1.0443556,338469694267068,2.0756156,0,,,
GPS,32.1687435300,34.8112620700,38.41650390625,10.55,3.7900925,261.7,1713027257000,0.76622474,1.0405223,338470693924254,2.5,0,,,
FLP,32.1687430000,34.8112625000,38.81589078223659,10.549095,6.098,260.99747,1713027256552,0.76622474,1.0405223,338470693924254,2.0858026,0,,,
GPS,32.1687350600,34.8111515800,37.90704345703125,10.57,3.7900925,266.2,1713027258000,0.8357298,1.0404396,338471690353578,2.5,0,,,
FLP,32.1687340000,34.8111517000,38.36730303420375,10.568536,5.784,265.9959,1713027257550,0.8357298,1.0404396,338471690353578,2.1067178,0,,,
GPS,32.1687349000,34.8110374400,37.56170654296875,10.53,3.7900925,270.1,1713027259000,0.7650038,1.0685313,338472689389046,2.5,0,,,
FLP,32.1687337000,34.8110378000,37.922816836728046,10.530151,3.9,269.99725,1713027258549,0.7650038,1.0685313,338472689389046,2.116535,0,,,
GPS,32.1687425900,34.8109314400,37.320556640625,10.2,3.7900925,273.4,1713027260000,0.7345533,1.0024358,338473699126962,2.5,0,,,
FLP,32.1687412000,34.8109304000,37.772379119539536,10.203129,3.9,272.9973,1713027259559,0.7345533,1.0024358,338473699126962,2.1367996,0,,,
GPS,32.1687517400,34.8108269500,37.42205810546875,9.75,3.7900925,277.6,1713027261000,0.7599415,0.9734554,338474691949045,2.5,0,,,
FLP,32.1687508000,34.8108263000,37.460448527672334,9.754999,3.9,276.99393,1713027260551,0.7599415,0.9734554,338474691949045,2.1468053,0,,,
GPS,32.1687624100,34.8107390500,37.594482421875,8.39,3.7900925,279.2,1713027262000,0.8988376,1.0243138,338475693612690,2.5,0,,,
FLP,32.1687623000,34.8107366000,37.14525651654226,8.408669,3.9,278.97922,1713027261552,0.8988376,1.0243138,338475693612690,2.1569116,0,,,
GPS,32.1687705600,34.8106709600,37.525634765625,6.67,3.7900925,278.3,1713027263000,0.7427741,1.0837438,338476695914304,2.5,0,,,
FLP,32.1687712000,34.8106675000,36.6756263542638,6.6856046,3.9,277.98276,1713027262555,0.7427741,1.0837438,338476695914304,2.1664445,0,,,
GPS,32.1687741200,34.8106183800,37.7001953125,4.74,3.7900925,277.0,1713027264000,0.7469817,1.1331881,338477702309044,2.5,0,,,
FLP,32.1687750000,34.8106150000,36.41260911985368,4.757989,3.9,276.97467,1713027263562,0.7469817,1.1331881,338477702309044,2.177087,0,,,
GPS,32.1687773400,34.8105915500,37.80902099609375,2.5,3.7900925,276.6,1713027265000,0.7117731,1.2048732,338478697362741,2.5,0,,,
FLP,32.1687778000,34.8105874000,35.984511583128565,2.519385,3.9,275.95474,1713027264556,0.7117731,1.2048732,338478697362741,2.1868196,0,,,
GPS,32.1687758000,34.8105788300,37.99896240234375,1.07,3.7900925,275.7,1713027266000,0.72872144,1.2835071,338479697608209,2.5,0,,,
FLP,32.1687765000,34.8105760000,35.843863155943204,1.0830872,3.9,274.94016,1713027265557,0.72872144,1.2835071,338479697608209,2.1963108,0,,,
NLP,32.1687424000,34.8102867000,-7.499999523162842,,45.6,,1713027266081,,,338480222000000,100.0,0,,,
FLP,32.1687766000,34.8105724000,35.845454574108444,1.0812835,5.647,274.9483,1713027266081,1.5,45.0,338480222000000,2.0805306,0,,,
GPS,32.1687699200,34.8105578700,38.0498046875,1.91,3.7900925,262.8,1713027267000,0.88869214,1.3695799,338480701648938,2.5,0,,,
FLP,32.1687710000,34.8105591000,35.88020778093432,1.9011601,5.647,261.96445,1713027266561,0.88869214,1.3695799,338480701648938,2.0736136,0,,,
GPS,32.1687500100,34.8105240500,37.815185546875,3.54,3.7900925,239.8,1713027268000,0.9120796,1.4571501,338481696190761,2.5,0,,,
FLP,32.1687530000,34.8105265000,36.22691745896954,3.526347,5.647,238.98575,1713027267555,0.9120796,1.4571501,338481696190761,2.0737655,0,,,
GPS,32.1687111100,34.8104901700,37.65167236328125,5.34,3.7900925,220.9,1713027269000,0.88836765,1.539862,338482690093729,2.5,0,,,
FLP,32.1687152000,34.8104909000,36.45726290327647,5.3240013,5.398,220.11058,1713027268550,0.88836765,1.539862,338482690093729,2.07246,0,,,
GPS,32.1686539400,34.8104521400,37.473388671875,7.16,3.7900925,209.8,1713027270000,0.8534579,1.6001418,338483697633156,2.5,0,,,
FLP,32.1686577000,34.8104524000,36.55918766938021,7.141284,5.647,209.08197,1713027269556,0.8534579,1.6001418,338483697633156,2.0823817,0,,,
GPS,32.1685857600,34.8104226300,36.8118896484375,8.34,3.7900925,201.7,1713027271000,0.8008652,1.608935,338484694419614,2.5,0,,,
FLP,32.1685883000,34.8104215000,36.500242504979596,8.326254,5.398,201.0445,1713027270554,0.8008652,1.608935,338484694419614,2.072159,0,,,
GPS,32.1685049100,34.8103912800,36.3304443359375,9.28,3.7900925,198.6,1713027272000,0.7596887,1.5217777,338485692713415,2.5,0,,,
FLP,32.1685070000,34.8103911000,36.500242504979596,9.270928,3.9,198.01976,1713027271552,0.7596887,1.5217777,338485692713415,2.0721774,0,,,
GPS,32.1684237100,34.8103616800,36.2786865234375,9.21,3.7900925,198.0,1713027273000,1.080937,1.6158975,338486695531020,2.5,0,,,
FLP,32.1684243000,34.8103615000,36.456212529692856,9.211068,3.9,197.99828,1713027272555,1.080937,1.6158975,338486695531020,2.0716114,0,,,
GPS,32.1683445800,34.8103323600,36.33038330078125,8.94,3.7900925,198.4,1713027274000,0.7322374,1.3562578,338487696763727,2.5,0,,,
FLP,32.1683447000,34.8103322000,36.33038330078125,8.942126,3.9,197.99648,1713027273556,0.7322374,1.3562578,338487696763727,2.0718036,0,,,
GPS,32.1682728600,34.8103004200,36.16973876953125,8.36,3.7900925,199.8,1713027275000,0.74122685,1.1362854,338488694393206,2.5,0,,,
FLP,32.1682722000,34.8103008000,36.16973876953125,8.364902,3.9,198.98888,1713027274554,0.74122685,1.1362854,338488694393206,2.0628574,0,,,
GPS,32.1682033900,34.8102708700,35.71771240234375,8.12,3.7900925,201.7,1713027276000,0.7525396,1.0604008,338489694011904,2.5,0,,,
FLP,32.1682030000,34.8102711000,35.83397022015503,8.12254,3.9,200.9908,1713027275554,0.7525396,1.0604008,338489694011904,2.0735981,0,,,
GPS,32.1681313500,34.8102340900,35.2469482421875,8.51,3.7900925,203.7,1713027277000,0.8336448,1.0919603,338490697159403,2.5,0,,,
FLP,32.1681319000,34.8102350000,35.719820342219144,8.507284,3.9,203.00089,1713027276557,0.8336448,1.0919603,338490697159403,2.0734506,0,,,
